find,replace,type,description
เ{2}([ก-ฮ]+),แ$1,1,สระเอสองตัว ควรแทนที่ด้วยสระแอ
([ก-ฮ]+)\u0E4Dา,$1ำ,1,นิคหิตสระอา ควรแทนที่ด้วยสระอำ
([ก-ฮ]+)([\u0E48-\u0E4B])\u0E4Dา,$1$2ำ,1,นิคหิต วรรณยุกต์ และ สระอา ควรแทนที่ด้วยสระอำ
([ก-ฮ]+)\u0E4D([\u0E48-\u0E4B])า,$1$2ำ,1,นิคหิต สระอา และ วรรณยุกต์ ควรแทนที่ด้วยสระอำ
([ก-ฮ]+)([\u0E48-\u0E4C])([\u0E38\u0E39]),$1$3$2,1,เครื่องหมายด้านล่าง (สระอุสระอู) ควรมาก่อนเครื่องหมายด้านบน (วรรณยุกต์ ทัณฑฆาต)
([ก-ฮ]+)([\u0E48-\u0E4B])([\u0E34-\u0E37]),$1$3$2,1,สระด้านบนควรมาก่อนวรรณยุกต์
"([ก-๛]+)([0-9]+,?[0-9]*\.?[0-9]*)$",$1 $2,2,ควรเว้นวรรคก่อนตัวเลข (ก่อนจบข้อความ)
"([ก-๛]+)([0-9]+,?[0-9]*\.?[0-9]*)([ก-๛]+)",$1 $2 $3,2,ควรเว้นวรรคก่อนและหลังตัวเลข
([ก-๛]+)(\sๆ|ๆ\s|ๆ)([ก-๛]+),$1 ๆ $3,2,ควรเว้นวรรคก่อนและหลังไม้ยมก
([ก-๛]+)ๆ$,$1 ๆ,2,ควรเว้นวรรคก่อนไม้ยมก (ก่อนจบข้อความ)
